date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:41	73221/73221	---MCZ	200	added ('OK')	text/html	etag:W/%224631d32063dfc3cbbe09b1eba4649fc4%22	https://seoc-html-v2.vercel.app/index3.html	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/index3.html	(from )
17:56:41	4748/4748	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225368d57a3b5bfe209828f053940c1f0d%22	https://seoc-html-v2.vercel.app/robots.txt		(from )
17:56:42	1524/1524	---M--	200	added ('OK')	image/png	etag:%228c88bef9ed04631ef99a46ce77296241%22	https://seoc-html-v2.vercel.app/assets/img/logo/fav-logo4.png	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/img/logo/fav-logo4.png	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:42	193528/193528	---MCZ	200	added ('OK')	text/css	etag:W/%22bfca1b85a7b4e7962a388d02cfbd5b4e%22	https://seoc-html-v2.vercel.app/assets/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/bootstrap.min.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:42	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://seoc-html-v2.vercel.app/assets/css/plugins/aos.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/aos.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:43	732949/732949	---MCZ	200	added ('OK')	text/css	etag:W/%22887de9afaf4948e60b18056e1a2118da%22	https://seoc-html-v2.vercel.app/assets/css/plugins/fontawesome.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/fontawesome.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:43	8002/8002	---MCZ	200	added ('OK')	text/css	etag:W/%22e66d6a4da6d630910a59c2dfb0ca5475%22	https://seoc-html-v2.vercel.app/assets/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/magnific-popup.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:44	3379/3379	---MCZ	200	added ('OK')	text/css	etag:W/%22a0afd49066343c49f700b05791ced289%22	https://seoc-html-v2.vercel.app/assets/css/plugins/mobile.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/mobile.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:44	3361/3361	---MCZ	200	added ('OK')	text/css	etag:W/%22911679ecb8cbf1b42b77b37404ea1a24%22	https://seoc-html-v2.vercel.app/assets/css/plugins/owlcarousel.min.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/owlcarousel.min.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:44	7298/7298	---MCZ	200	added ('OK')	text/css	etag:W/%228f015735a553540c65cd6a84850ec1f5%22	https://seoc-html-v2.vercel.app/assets/css/plugins/sidebar.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/sidebar.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:45	1895/1895	---MCZ	200	added ('OK')	text/css	etag:W/%22b06073c5a23326dcc332b78d42c7290c%22	https://seoc-html-v2.vercel.app/assets/css/plugins/slick-slider.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/slick-slider.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:45	4421/4421	---MCZ	200	added ('OK')	text/css	etag:W/%22947ba088bf37bf091961814e817e7d7e%22	https://seoc-html-v2.vercel.app/assets/css/plugins/nice-select.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/plugins/nice-select.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:46	851783/851783	---MCZ	200	added ('OK')	text/css	etag:W/%222f7470180f01fa3cc7a0764c3e185552%22	https://seoc-html-v2.vercel.app/assets/css/main.css	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/css/main.css	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:46	89500/89500	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c14a783dfeb3d238ccd3edd840d82ee%22	https://seoc-html-v2.vercel.app/assets/js/plugins/jquery-3-6-0.min.js	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/js/plugins/jquery-3-6-0.min.js	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:46	2378/2378	---M--	200	added ('OK')	image/png	etag:%22d5b10b8e0b67fffd788e584c0ce83c3a%22	https://seoc-html-v2.vercel.app/assets/img/logo/preloader3.png	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/assets/img/logo/preloader3.png	(from https://seoc-html-v2.vercel.app/index3.html)
17:56:46	68853/68853	---MCZ	200	added ('OK')	text/html	etag:W/%22fe9439a827f99139317931197a607e69%22	https://seoc-html-v2.vercel.app/index.html	C:/My%20Web%20Sites/brandmarkwebsite/seoc-html-v2.vercel.app/index.html	(from https://seoc-html-v2.vercel.app/index3.html)
